时间,二分图直径,二分图平均度,二分图同配系数,二分图密度,二分图平均聚类系数,基金直径,基金平均度,基金同配系数,基金密度,基金平均聚类系数,股票直径,股票同配系数,股票平均聚类系数,股票平均度,股票密度,股市,股市-下一季度,股市-下两季度
2012/10/1,8,26.82133473,-0.324289291,0.021244131,0.147047772,13,75.15312916,0.059436406,0.100204172,0.512994367,7,0.441037567,0.696828139,267.218844,0.089311111,-1,1,-1
2013/1/1,16,7.530821918,-0.161216185,0.007063931,0.183707898,12,39.23155216,0.464089227,0.0499765,0.418048948,10,0.50251237,0.555619621,25.60026649,0.017066844,1,-1,1
2013/4/1,9,27.28331638,-0.34798103,0.020004013,0.154842663,15,60.02421308,0.128964447,0.072756622,0.494085571,7,0.56141172,0.722938855,272.2130878,0.089543779,-1,1,-1
2013/7/1,24,7.933926302,-0.163575196,0.007119943,0.164132173,15,46.49528302,0.265637789,0.054894077,0.441367045,13,0.598479647,0.534229687,21.42578397,0.014941272,1,-1,-1
2013/10/1,9,28.67353606,-0.330015199,0.020208869,0.1480544,10,49.4,0.185008806,0.057508731,0.45431441,7,0.548857119,0.706735889,254.2040013,0.083400263,-1,-1,1
2014/1/1,18,7.591993841,-0.126468978,0.006279781,0.173114404,13,28.27685493,0.536415401,0.031349063,0.3953983,10,0.629974643,0.545129723,19.991374,0.012325138,-1,1,1
2014/4/1,9,29.13603276,-0.326305187,0.018168922,0.140490477,11,37.02222222,0.393656669,0.037433996,0.423427195,6,0.575706097,0.697635891,278.0210337,0.083565084,1,1,1
2014/7/1,16,7.396767307,-0.119225234,0.005006564,0.172766733,15,18.90926457,0.633106299,0.018077691,0.371984024,12,0.669994177,0.52135506,21.8085007,0.010190888,1,1,1
2014/10/1,11,29.45194439,-0.280874225,0.015925829,0.123841533,12,52.26283725,0.183981863,0.04552512,0.501006534,10,0.584410225,0.660245178,251.9242343,0.067703369,1,1,1
2015/1/1,15,7.304541655,-0.085218485,0.004356134,0.166948369,12,34.04447975,0.469863233,0.027062385,0.402408026,10,0.619858845,0.518819592,17.31084121,0.007790658,1,1,-1
2015/4/1,9,29.33025252,-0.237664517,0.012284398,0.110785184,17,30.65986395,0.570694722,0.020871248,0.50391273,7,0.540390332,0.617958096,225.244898,0.051087525,1,-1,-1
2015/7/1,16,7.005788712,-0.115827223,0.003510915,0.163492262,13,27.76477987,0.707007052,0.017473115,0.38092985,13,0.553507199,0.528300939,13.12324235,0.005429558,-1,-1,-1
2015/10/1,8,31.65532479,-0.227025159,0.011530772,0.095895773,17,50.65860679,0.718611981,0.029181225,0.566907362,8,0.575569926,0.591823497,243.599013,0.050102635,-1,-1,-1
2016/1/1,15,7.212951432,-0.127350616,0.003104429,0.164866761,14,27.01406926,0.692593928,0.014625917,0.393489948,12,0.733249165,0.540681808,17.54212584,0.006238309,-1,-1,1
2016/4/1,8,35.39374326,-0.22847378,0.011467076,0.092431691,13,293.0339066,0.489718541,0.144067801,0.697179727,7,0.484653259,0.571570954,254.9975024,0.049000289,-1,1,1
2016/7/1,14,7.371928518,-0.150807438,0.002804304,0.156060561,13,29.72523962,0.614291398,0.013573169,0.371862037,12,0.725877354,0.537764377,17.50299401,0.005824624,1,1,1
2016/10/1,11,42.66757325,-0.216530944,0.012207431,0.088643617,14,466.0845421,0.53789803,0.193235714,0.730768455,7,0.546558534,0.5911072,251.9426185,0.045757831,1,1,1
2017/1/1,15,7.52481411,-0.162653678,0.002614964,0.160675406,11,50.13608563,0.441666993,0.019172499,0.397066648,13,0.687616062,0.559028636,16.81528239,0.005588329,1,1,1
2017/4/1,8,43.2628714,-0.226545904,0.010907455,0.094221639,14,519.9856361,0.516744153,0.177894504,0.724750009,8,0.379774647,0.636513799,307.1920484,0.053110658,1,1,1
2017/7/1,14,8.303577754,-0.169411129,0.002948448,0.147006772,10,104.1877579,0.337532479,0.035840302,0.439282279,13,0.762374476,0.551876081,11.67223301,0.004534667,1,1,1
